Code,H,HRank
409883,675.818,1
409884,709.89,1
409885,148.442,1
409886,214.645,1
409887,287.322,1
409888,210.665,1
409891,44.084,1
409892,-38.859,1
409893,-129.095,1
409894,-197.507,1
409895,-194.168,1
409896,67.801,1
409897,85.325,1
409898,108.113,1
409899,130.861,1
409900,148.557,1
409902,553.51,1
409903,740.207,1
409904,762.851,1
409905,732.348,1
409906,103.699,1
409907,808.638,1
409908,769.274,1
409909,680.497,1
409912,330.609,1
409914,154.443,1
409915,167.085,1
409916,139.865,1
409917,108.708,1
409919,96.995,1
409920,56.647,1
409921,52.742,1
409922,34.138,1
409923,72.622,1
409925,306.206,1
409926,0.942,1
409927,65.231,1
409929,25.328,1
409930,85.218,1
409931,85.189,1
409932,139.382,1
409934,-176.623,1
409935,67.702,1
409936,216.155,1
409937,66.763,1
409938,202.106,1
409939,5.755,1
409940,15.194,1
409942,30.156,1
409943,243.637,1
409944,74.145,1
409945,61.049,1
409946,65.003,1
409948,87.873,1
409949,130.011,1
409951,197.705,1
409952,198.425,1
409953,28.914,1
409954,68.259,1
409955,100.061,1
409956,55.096,1
409957,77.893,1
409959,23.043,1
409960,33.215,1
409961,124.129,1
409962,77.606,1
409963,286.213,1
409964,260.027,1
409965,163.735,1
409966,166.689,1
409967,100.337,1
409968,139.991,1
409969,60.362,1
409970,13.777,1
409971,26.356,1
409972,24.056,1
409973,6.085,1
409974,24.535,1
409975,17.448,1
409976,84.489,1
409977,55.286,1
409978,47.2,1
409979,52.239,1
409981,25.325,1
409983,31.275,1
409984,32.099,1
409985,44.763,1
409986,4.454,1
409987,12.73,1
409988,15.188,1
409990,-184.891,1
409991,-196.04,1
409992,21.615,1
409994,8.737,1
409995,-200.71,1
409996,436.375,1
409997,303.531,1
409998,264.926,1
409999,312.657,1
410000,27.971,1
410001,46.49,1
410002,49.174,1
410003,38.288,1
410004,865.735,1
410005,42.628,1
410006,25.663,1
410007,21.988,1
410008,16.5,1
410009,62.636,1
410010,-201.601,1
410011,41.821,1
410012,135.525,1
410013,250.808,1
410014,105.564,1
410015,20.548,1
410016,27.921,1
410017,42.974,1
410018,52.701,1
410019,88.164,1
410020,299.754,1
410022,33.742,1
410023,4.211,1
410024,23.382,1
410025,218.722,1
410026,14.299,1
410028,-75.95,1
415525,-201.767,1
419346,137.116,1
422093,4.098,1
459639,39.775,1
466293,690.043,1
466423,260.96,1
481805,-226.64,1
556,6.781,2
655,11.879,2
1140,9.363,2
6299,181.765,2
19022,24.814,2
19032,12.966,2
20633,-268.546,2
20634,130.213,2
20635,642.205,2
20813,-17.977,2
20824,-92.513,2
20832,-18.578,2
21469,9.432,2
21470,-176.102,2
21471,-108.998,2
21472,-4.284,2
21479,-73.444,2
22086,178.384,2
22087,78.57,2
22088,300.322,2
22089,365.912,2
22090,400.014,2
22091,-217.893,2
22092,-10.099,2
22101,284.817,2
22102,-290.542,2
22103,403.041,2
22104,218.835,2
25909,-245.921,2
26047,391.668,2
26091,426.686,2
26095,819.677,2
26103,539.895,2
26138,122.826,2
26152,650.906,2
26158,809.254,2
26193,121.706,2
26226,732.283,2
26251,-197.161,2
26252,-193.943,2
26312,477.956,2
26318,463.804,2
29693,258.984,2
29698,164.684,2
29699,160.096,2
29731,76.097,2
29732,93.473,2
29733,127.722,2
29734,527.247,2
29735,770.926,2
29736,485.357,2
29737,403.258,2
29738,288.067,2
29739,146.012,2
29740,109.663,2
29741,541.564,2
29742,695.956,2
29744,319.266,2
29745,266.053,2
29746,279.484,2
29747,284.018,2
29748,308.792,2
29749,383.11,2
29750,398.141,2
29751,252.827,2
29752,131.006,2
29753,51.878,2
29770,502.142,2
29771,777.668,2
29772,778.445,2
29773,606.874,2
29774,409.544,2
29775,409.074,2
29776,359.73,2
29781,258.715,2
29782,328.892,2
29942,12.918,2
30001,49.457,2
30003,48.627,2
30013,22.886,2
30030,31.924,2
30031,23.431,2
30040,165.049,2
30041,202.28,2
30042,168.843,2
30047,123.203,2
30061,8.313,2
30065,21.522,2
30067,25.204,2
30068,30.226,2
30074,41.184,2
30095,-124.795,2
30096,-45.473,2
30147,599.742,2
30182,265.761,2
30198,46.369,2
30199,110.276,2
30200,99.549,2
30201,120.937,2
30218,236.454,2
30219,250.309,2
30222,98.77,2
30223,264.86,2
30224,135.634,2
30226,-263.366,2
30227,-262.016,2
30228,-197.273,2
30229,-60.79,2
30230,608.267,2
30232,-225.094,2
30233,636.841,2
30234,0.998,2
30235,303.959,2
30236,564.651,2
30237,232.636,2
30238,815.596,2
30239,775.846,2
30240,785.061,2
30241,-177.764,2
30242,-260.058,2
30243,479.855,2
30245,403.84,2
30246,269.966,2
30247,114.262,2
30248,-252.25,2
30249,-181.742,2
30250,449,2
30251,334.925,2
30253,562.099,2
30254,643.343,2
30255,639.303,2
30256,504.229,2
30257,454.649,2
30258,677.46,2
30259,-53.38,2
30260,194.505,2
30261,59.337,2
30262,-232.745,2
30263,263.95,2
30264,104.018,2
30265,540.002,2
30266,646.961,2
30268,261.678,2
30269,257.195,2
30270,300.411,2
30272,-108.509,2
30273,437.613,2
30274,125.582,2
30276,27.209,2
30277,10.651,2
30283,173.126,2
30284,172.795,2
30285,199.735,2
30286,199.036,2
30287,191.99,2
30288,224.493,2
30289,255.252,2
30290,233.857,2
30291,221.76,2
30292,192.451,2
30293,195.032,2
30294,171.961,2
30295,168.352,2
30297,400.106,2
30298,99.537,2
30299,-125.841,2
30300,-225.831,2
30309,-203.801,2
30310,-200.119,2
30311,-177.627,2
30312,-185.566,2
30313,-161.6,2
30324,-100.99,2
30326,-35.316,2
30327,20.864,2
30329,45.914,2
30331,399.276,2
30332,488.221,2
30341,479.02,2
30349,314.099,2
30351,356.031,2
30357,222.506,2
30358,191.036,2
30359,142.338,2
30360,372.237,2
30361,382.252,2
30362,387.851,2
30363,401.84,2
30364,391.577,2
30366,22.088,2
30367,28.668,2
30416,24.141,2
409308,7.468,2
409366,33.1,2
409395,39.277,2
409449,25.786,2
409470,34.876,2
409473,56.072,2
409515,-197.415,2
409707,185.912,2
409750,19.661,2
409791,-162.661,2
409800,-197.263,2
409820,217.626,2
409941,17.478,2
409950,210.577,2
409980,16.642,2
409993,3.601,2
410029,321.279,2
410030,22.082,2
410031,147.493,2
410032,228.252,2
410033,391.295,2
410034,268.454,2
410035,179.178,2
410036,270.481,2
410037,321.775,2
410038,148.446,2
410041,159.181,2
410042,224.574,2
410043,62.612,2
410044,58.674,2
410045,86.498,2
410046,106.735,2
410047,130.04,2
410048,100.964,2
410049,71.744,2
410050,151.054,2
410051,305.79,2
410052,280.748,2
410053,7.156,2
410054,30.416,2
410055,14.985,2
410056,16.564,2
410057,112.187,2
410058,79.443,2
410059,80.862,2
410067,186.607,2
410068,218.582,2
410069,150.441,2
410070,170.678,2
410071,147.937,2
410072,170.452,2
410073,198.719,2
410074,177.59,2
410075,221.275,2
410077,193.497,2
410078,187.888,2
410079,14.47,2
410081,39.266,2
410082,33.986,2
410083,52.87,2
410084,43.154,2
410085,63.694,2
410086,105.62,2
410087,35.023,2
410088,2.286,2
410091,10.039,2
410092,4.928,2
410093,13.763,2
410094,17.551,2
410095,17.279,2
410096,6.219,2
410097,16.432,2
410098,38.149,2
410099,61.67,2
410100,59.252,2
410101,10.87,2
410102,10.954,2
410103,34.562,2
410104,17.639,2
410105,15.234,2
410106,20.128,2
410107,26.337,2
410108,71.469,2
410109,31.199,2
410110,29.287,2
410111,59.43,2
410112,60.456,2
410113,41.567,2
410114,31.134,2
410115,20.675,2
410116,40.601,2
410117,48.647,2
410123,20.849,2
410127,40.505,2
410128,12.722,2
410129,43.717,2
410130,18.39,2
410131,20.226,2
410132,22.311,2
410133,59.244,2
410134,48.008,2
410135,59.767,2
410136,59.317,2
410137,31.757,2
410139,-204.371,2
410140,120.459,2
410141,273.173,2
410142,270.51,2
410143,92.929,2
410144,62.766,2
410145,72.926,2
410146,151.864,2
410147,203.169,2
410148,197.558,2
410149,136.06,2
410150,103.99,2
410151,175.529,2
410152,177.39,2
410153,221.698,2
410154,104.603,2
410155,104.814,2
410156,136.074,2
410171,295.763,2
410172,267.76,2
410173,245.292,2
410174,226.337,2
410175,190.514,2
410176,170.065,2
410177,133.891,2
410178,116.056,2
410179,4.263,2
410181,-196.392,2
410182,203.478,2
410183,286.767,2
410184,496.049,2
410185,464.591,2
410186,83.571,2
410187,153.415,2
410188,168.836,2
410189,230.684,2
410190,221.288,2
410191,388.15,2
410192,424.426,2
410193,466.743,2
410194,502.936,2
410195,503.444,2
410196,519.314,2
410197,430.946,2
410198,402.697,2
410199,352.606,2
410200,331.293,2
410201,323.171,2
410202,279.973,2
410203,168.787,2
410204,149.511,2
410205,168.503,2
410206,287.117,2
410207,445.937,2
410208,355.701,2
410209,315.192,2
410210,361.709,2
410211,342.335,2
410212,262.188,2
410213,227.491,2
410214,212.302,2
410215,178.505,2
410216,180.161,2
410217,892.51,2
410218,73.293,2
410219,92.89,2
410220,41.079,2
410221,67.899,2
410222,130.023,2
410223,412.385,2
410229,48.416,2
410230,57.921,2
410231,68.162,2
410232,86.491,2
410233,376.733,2
410234,157.373,2
410235,171.714,2
410236,167.946,2
410237,188.309,2
410238,191.901,2
410239,206.839,2
410240,-200.395,2
410241,-121.938,2
410242,-219.934,2
410243,-216.49,2
410244,-207.208,2
410245,82.715,2
410246,81.357,2
410247,117.083,2
410248,369.749,2
410249,380.018,2
410250,511.444,2
410251,579.11,2
410252,624.898,2
410253,163.687,2
410254,410.868,2
410255,354.701,2
410256,-205.683,2
410257,-41.927,2
410258,13.969,2
410259,107.575,2
410260,106.529,2
410261,88.008,2
410262,73.069,2
410263,124.679,2
410264,140.602,2
410265,212.004,2
410266,233.664,2
410267,249.433,2
410268,114.091,2
410269,147.551,2
410270,736.185,2
410271,713.142,2
410272,705.814,2
410273,649.023,2
410274,576.112,2
410275,537.763,2
410276,535.846,2
410277,502.065,2
410278,513.191,2
410279,770.102,2
410280,665.092,2
410281,623.644,2
410282,693.316,2
410283,636.539,2
410284,495.271,2
410285,45.92,2
410286,42.626,2
410287,138.383,2
410289,241.264,2
410290,661.163,2
410291,593.377,2
410292,408.322,2
410293,345.257,2
410294,253.883,2
410295,384.319,2
410296,425.5,2
410297,76.82,2
410298,83.485,2
410299,128.653,2
410300,149.822,2
410301,175.495,2
410302,199.853,2
410303,222.485,2
410304,236.547,2
410305,830.134,2
410306,829.884,2
410307,389.382,2
410308,435.461,2
410309,712.884,2
410310,479.733,2
410311,562.487,2
410312,677.095,2
410313,581.7,2
410314,525.663,2
410315,455.068,2
410316,365.989,2
410317,313.661,2
410318,120.763,2
410319,177.384,2
410320,68.154,2
410321,51.274,2
410322,135.693,2
410323,112.067,2
410324,110.65,2
410325,97.843,2
410326,98.618,2
410327,105.462,2
410328,781.248,2
410329,748.123,2
410330,765.235,2
410331,727.83,2
410332,661.362,2
410333,606.501,2
410334,326.63,2
410335,198.764,2
410336,-192.898,2
410338,617.904,2
410339,791.655,2
