Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source,File
6048,6047,1.78124,320,12,-0.48,596,0,1998-r1,0753_4067-504U.rez
6047,6046,-107.84012,2178,113,0.11,1096,0,1998-r1,0753_4067-504U.rez
6046,504U,-115.92859,1858,87,0.36,596,0,1998-r1,0753_4067-504U.rez
4067,6052,-7.49079,94,8,-0.11,1096,0,1998-r1,0754_4067-6056.rez
6052,6053,-105.80317,2385,114,0.68,1096,0,1998-r1,0754_4067-6056.rez
6053,506U,45.04865,1723,71,0.62,1096,0,1998-r1,0754_4067-6056.rez
506U,6055,-133.31163,2071,105,0.97,596,0,1998-r1,0754_4067-6056.rez
6055,6056,-50.86882,2270,59,1.71,596,0,1998-r1,0754_4067-6056.rez
4067,8057,16.44358,461,17,0.23,790,874,1998-r2,0755_4067-4756.rez
8057,4756,-65.58952,1236,40,-0.94,790,874,1998-r2,0755_4067-4756.rez
4067,8058,-73.79272,1309,46,-0.77,790,873,1998-r2,0756_4067-4069.rez
8058,8059,-40.50934,1230,38,-2.33,790,873,1998-r2,0756_4067-4069.rez
8059,8060,46.51755,1402,45,-1.22,790,872,1998-r2,0756_4067-4069.rez
8060,8061,-19.37445,575,18,0.61,790,872,1998-r2,0756_4067-4069.rez
8061,8062,-80.14692,1201,46,2.66,790,872,1998-r2,0756_4067-4069.rez
8062,8063,-34.69745,647,23,-0.03,790,872,1998-r2,0756_4067-4069.rez
8063,8064,-15.18904,1498,36,0.86,790,871,1998-r2,0756_4067-4069.rez
8064,8065,-33.79796,823,22,-2.73,790,871,1998-r2,0756_4067-4069.rez
8065,4069,-4.64504,664,15,-0.45,790,871,1998-r2,0756_4067-4069.rez
4069,362K,7.9043,1155,24,0.6,790,0,1998-r2,0757_4069-4790.rez
362K,8066,-1.6037,1536,39,-2.12,690,870,1998-r2,0757_4069-4790.rez
8066,4790,8.14712,714,17,-0.75,690,870,1998-r2,0757_4069-4790.rez
4069,4789,-5.91406,1590,26,2.29,1185,1431,1998-r2,0758_4069-508U.rez
4789,4788,3.76862,2400,32,-2.47,1085,1429,1998-r2,0758_4069-508U.rez
4788,508U,-7.03068,2180,38,-1.68,1085,1428,1998-r2,0758_4069-508U.rez
4069,4790,14.44815,3049,79,0.15,405,938.RAW,luba,0759_4069-4790.rez
4069,6058,12.54087,796,25,-0.62,405,938.RAW,luba,0760_4069-6058.rez
4084,4083,15.79653,1010,18,-2.81,970,1071,1998-r2,0765_4084-510U.rez
4083,510U,-15.98775,1560,32,-0.4,1070,1073,1998-r2,0765_4084-510U.rez
4084,4792,-7.86647,1500,24,-0.76,1285,1430,1998-r2,0766_4084-4765.rez
4792,4082,-37.44349,1800,32,-0.06,1285,1430,1998-r2,0766_4084-4765.rez
4082,40821,-35.69288,1050,24,-0.09,1285,1430,1998-r2,0766_4084-4765.rez
40821,1069,-30.82572,1690,28,1.7,1285,1430,1998-r2,0766_4084-4765.rez
1069,315BN,50.49334,840,24,0.08,1285,1430,1998-r2,0766_4084-4765.rez
315BN,4765,-28.69449,1180,18,2.45,1285,1430,1998-r2,0766_4084-4765.rez
4084,510U,-0.19203,2500,50,-0.36,1185,1431,1998-r2,0767_4084-510U.rez
4092,1063,6.30566,2580,42,2.19,685,1414,1998-r2,0768_4092-4764.rez
1063,10631,-44.13518,1120,26,0.42,685,1415,1998-r2,0768_4092-4764.rez
10631,270A,-20.36061,1460,20,-0.83,685,1415,1998-r2,0768_4092-4764.rez
270A,4763,-14.53802,1250,18,-0.29,685,1415,1998-r2,0768_4092-4764.rez
4763,47631,-18.52107,1150,18,2.17,685,1412,1998-r2,0768_4092-4764.rez
47631,4091,19.64975,1400,24,3.92,685,1412,1998-r2,0768_4092-4764.rez
4091,4764,-34.58768,1800,40,1.93,785,1420,1998-r2,0768_4092-4764.rez
4092,3978MPI,-40.87057,1894,57,1.5,917,3978MPI-4092.raw,3728,0769_4092-4850.rez
3978MPI,3974MPI,-58.52762,1686,42,-0.61,917,3978MPI-3974MPI.raw,3728,0769_4092-4850.rez
3974MPI,4850,-15.09231,1388,25,-0.22,1117,4850-3974MPI.raw,3728,0769_4092-4850.rez
4092,4126MPI,9.09118,1821,61,1.37,917,4126MPI-4092.raw,3728,0770_4092-4764.rez
4126MPI,4125MPI,0.73366,41,3,0.08,1017,4125MPI-4126MPI.raw,3728,0770_4092-4764.rez
4125MPI,1036D,-23.39745,1719,58,0.74,1017,4125MPI-1036D.raw,3728,0770_4092-4764.rez
1036D,4764MPI,-44.00196,1687,45,-2.28,1017,4764MPI-1036D.raw,3728,0770_4092-4764.rez
