Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source
629,630,3.49768,2040,30,2.45,554,238,1998-r2
629U,3646,-5.59272,2830,54,-3.63,1268,844,1998-r2
184U,185U,21.45644,1927,51,1.16,697,987.RAW,luba
3646,630U,-17.48029,2380,36,-4.34,1268,843,1998-r2
629U,630U,-23.07443,4884,161,3.22,398,990.RAW,luba
630U,631U,-3.61355,2423,76,-2.1,298,990.RAW,luba
630U,631U,-3.60967,2530,38,-2.63,1268,843,1998-r2
632,3447,93.83176,1740,72,-2.61,267,795,1998-r2
3447,634,-72.45975,2550,52,-0.34,267,795,1998-r2
632,633,72.16248,2120,70,-0.56,160,402,1998-r2
185U,186U,68.95503,1948,69,-1.56,797,987.RAW,luba
633,634,-50.79147,2080,40,-0.48,554,239,1998-r2
186U,187U,34.51097,1802,58,-0.89,697,987.RAW,luba
187U,188U,-10.29374,1916,54,1.66,697,987.RAW,luba
658U,32911,-20.4988,2618,39,-4.7,1191,2067,1998-r2
32911,3292,-3.03932,1504,24,-0.5,1191,2067,1998-r2
188U,189U,-11.24584,1788,65,-1.27,697,987.RAW,luba
3292,4967,-13.44294,1453,25,-2.1,1191,2067,1998-r2
4967,360A,16.41195,1520,22,-3.2,1191,2067,1998-r2
360A,3294,1.49989,1507,22,-3.5,1290,2066,1998-r2
3294,4968,1.68808,1312,20,-2.2,1290,2066,1998-r2
4968,659U,6.6591,1272,20,-0.9,1291,2066,1998-r2
189U,190U,-11.83231,1905,52,1.35,697,987.RAW,luba
190U,191U,-68.28253,1825,89,-1.04,697,987.RAW,luba
191U,192U,56.84928,2084,59,-2.01,597,986.RAW,luba
192U,193U,-5.27127,1403,40,0.14,697,987.RAW,luba
193U,194U,42.88321,1952,65,0.26,597,987.RAW,luba
194U,195U,-54.85243,1990,68,0.45,597,987.RAW,luba
195U,196U,-83.43563,2120,89,-1.21,597,987.RAW,luba
196U,197U,12.38434,1991,91,-2.08,297,987.RAW,luba
197U,198U,-113.08577,1929,113,1.41,597,986.RAW,luba
198U,199U,-167.97979,1842,137,-1.73,597,987.RAW,luba
199U,200U,-43.49327,2043,80,-1.18,697,987.RAW,luba
200U,201U,-139.87348,1973,121,-1.59,597,986.RAW,luba
201U,377U,-193.47601,3510,167,-1.45,797,987.RAW,luba
377U,52F,0.01167,25,2,-0.01,597,986.RAW,luba
52F,376U,7.51855,2233,60,1.22,597,986.RAW,luba
376U,375U,21.85971,1422,43,-1.16,597,986.RAW,luba
375U,300U,-19.05254,2217,65,0.54,497,986.RAW,luba
157U,4159MPI,5.15532,644,14,-1.45,517,UnionFiles.raw,3707
856,857,-13.41137,2060,40,-2.5,1258,357,1998-r2
857,858,69.53938,2070,52,-0.95,1258,357,1998-r2
858,859,-0.28092,2050,36,-0.15,1258,358,1998-r2
859,860,-12.12073,2020,38,-1.06,1258,358,1998-r2
860,861,24.37224,2150,30,0.09,1258,358,1998-r2
865,25BN,-30.67535,790,14,-0.93,459,359,1998-r2
25BN,866,-11.48444,1180,19,0.65,459,359,1998-r2
865,866,-42.15606,1980,35,2.65,168,815,1998-r2
4159MPI,161U,62.23049,2011,59,0.97,517,UnionFiles.raw,3707
866,26BN,-26.88152,1140,18,-2.55,459,360,1998-r2
26BN,867,12.47478,940,18,-2.45,459,360,1998-r2
866,457A,-2.47669,250,4,0.07,168,815,1998-r2
457A,867,-11.93063,1860,38,-2.02,168,816,1998-r2
867,27BN,11.69218,680,13,0.29,459,360,1998-r2
27BN,868,-10.30508,1350,24,-0.01,459,360,1998-r2
867,3462,20.13633,1030,24,-1.01,168,816,1998-r2
3462,868,-18.7496,1020,18,0.37,168,816,1998-r2
868,869,5.57827,2030,39,3.24,168,816,1998-r2
869,458A,2.88808,70,2,0.06,168,817,1998-r2
161U,4187MPI,-33.68036,3476,66,2.02,517,UnionFiles.raw,3707
458A,870,-0.53947,2060,38,-0.87,168,817,1998-r2
870,871,-41.66709,2020,29,-2.96,559,361,1998-r2
871,872,29.75727,2020,30,0.54,559,361,1998-r2
872,873,69.39831,1950,38,-0.05,168,818,1998-r2
873,3469,22.18991,720,16,-1.11,168,818,1998-r2
3469,874,-10.16738,1410,26,0.92,168,818,1998-r2
874,29BN,54.08858,1030,24,0.64,559,362,1998-r2
29BN,875,13.54946,1040,16,-3.28,559,362,1998-r2
875,30BN,-36.6659,1030,20,-1.32,559,363,1998-r2
30BN,876,-72.02933,1240,35,0.42,559,363,1998-r2
4187MPI,164U,2.51302,1888,34,0,517,UnionFiles.raw,3707
876,3467,-64.50397,1080,38,1.87,168,819,1998-r2
3467,877,-58.52135,790,32,0.94,168,820,1998-r2
877,32BN,-18.35069,2920,50,4.98,1259,384,1998-r2
32BN,33BN,-9.42489,2620,36,-0.1,260,385,1998-r2
33BN,881,-6.41132,2690,34,1.85,260,385,1998-r2
881,3471,0.40562,1460,21,-1.69,168,821,1998-r2
3471,882,3.61118,680,10,0.32,168,825,1998-r2
881,34BN,0.05893,1040,13,-0.4,260,385,1998-r2
34BN,882,3.9583,1020,13,0.04,260,386,1998-r2
882,3472,16.23563,1260,18,-3.2,168,825,1998-r2
164U,166U,-19.66107,3467,70,1.5,417,UnionFiles.raw,3707
3472,883,9.9347,890,12,-1.24,967,826,1998-r2
882,35BN,13.50746,880,11,0.18,260,386,1998-r2
35BN,883,12.6647,1180,15,-1.39,260,386,1998-r2
884,3474,0.23664,900,14,-1.18,967,826,1998-r2
3474,885,0.16698,1070,14,0.24,967,827,1998-r2
884,36BN,-0.22097,890,15,1.58,160,387,1998-r2
36BN,885,0.6233,1020,15,-1.76,160,387,1998-r2
166U,4186MPI,-23.33997,1937,34,-0.65,417,UnionFiles.raw,3707
964,3529b,8.0032,1108,22,0.95,801,915.RAW,luba
3529b,965,3.55416,978,20,-1.04,801,915.RAW,luba
964,965,11.58308,2070,28,-1.05,1166,772,1998-r2
976,3441,-35.78561,1160,27,0.1,1166,791,1998-r2
3441,977,-24.72131,1240,20,3.43,1166,791,1998-r2
976,3473,-18.21933,2040,32,1.78,267,798,1998-r2
3473,997,9.66808,2410,30,-2.34,267,798,1998-r2
976,996,-23.10836,2400,38,4.53,161,423,1998-r2
996,997,14.55508,1990,28,0.97,161,423,1998-r2
977,978,-18.68492,1940,32,-0.41,361,427,1998-r2
4186MPI,4185MPI,-24.89134,3819,66,-0.51,417,UnionFiles.raw,3707
978,979,-28.59739,2060,34,-1.88,361,427,1998-r2
979,980,-51.69722,2060,32,0.56,361,427,1998-r2
986,987,-10.29252,2170,30,-0.69,361,429,1998-r2
987,988,-62.91038,2000,50,0.19,361,429,1998-r2
4185MPI,4184MPI,-8.7077,1660,30,1.44,417,UnionFiles.raw,3707
4184MPI,4183MPI,-14.31125,2099,36,1.03,417,UnionFiles.raw,3707
4183MPI,172U,3.91571,1998,36,-2.9,417,UnionFiles.raw,3707
172U,4182MPI,-13.33571,2165,44,-0.57,417,UnionFiles.raw,3707
4182MPI,4181MPI,-18.63863,1827,38,1.24,417,UnionFiles.raw,3707
4181MPI,176U,-23.18301,3448,64,2.16,417,UnionFiles.raw,3707
176U,4033MPI,14.45119,2297,40,-0.98,317,UnionFiles.raw,3707
4033MPI,4180MPI,-32.38599,3124,60,-1.91,317,UnionFiles.raw,3707
4180MPI,180U,-14.16108,2167,38,-0.37,317,UnionFiles.raw,3707
180U,PARA,-0.32011,66,2,0,317,UnionFiles.raw,3707
PARA,266U,8.0638,2052,40,0.32,317,UnionFiles.raw,3707
266U,265U,43.33135,2504,56,0.82,317,UnionFiles.raw,3707
265U,264U,8.65284,2712,62,-2.29,117,UnionFiles.raw,3707
264U,263U,22.05551,2545,53,0.31,117,UnionFiles.raw,3707
263U,835U,-4.37355,598,19,0.31,117,UnionFiles.raw,3707
835U,4158MPI,7.80257,2960,68,-1.35,117,UnionFiles.raw,3707
4158MPI,261U,34.75997,1753,50,-0.95,117,UnionFiles.raw,3707
261U,4157MPI,3.09176,1562,46,0.92,117,UnionFiles.raw,3707
4157MPI,4026MPI,-10.2392,2625,62,1.45,117,UnionFiles.raw,3707
4026MPI,259U,18.92898,1792,30,-0.65,117,UnionFiles.raw,3707
259U,834U,20.53875,1927,36,-1.81,117,UnionFiles.raw,3707
834U,258U,-9.64293,2991,58,-0.81,117,UnionFiles.raw,3707
258U,4156MPI,8.82352,1096,39,-1.19,117,UnionFiles.raw,3707
4156MPI,257U,79.64435,2800,74,0.33,117,UnionFiles.raw,3707
257U,256U,226.10216,3666,142,-3.8,1116,UnionFiles.raw,3707
256U,SAGI,42.86647,525,27,-0.45,1116,UnionFiles.raw,3707
SAGI,4155MPI,11.74489,1884,41,-0.95,1116,UnionFiles.raw,3707
4155MPI,4154MPI,-136.033,2757,96,1.93,1116,UnionFiles.raw,3707
4154MPI,254U,-104.1663,2363,90,-0.38,1116,UnionFiles.raw,3707
254U,4153MPI,80.56741,1766,61,-0.81,916,UnionFiles.raw,3707
4153MPI,253U,-21.72473,1629,52,-0.74,916,UnionFiles.raw,3707
253U,4152MPI,-50.20565,1319,42,-1.71,916,UnionFiles.raw,3707
4152MPI,252U,-40.79634,2094,57,0.41,916,UnionFiles.raw,3707
252U,4151MPI,101.71144,1734,65,-0.66,916,UnionFiles.raw,3707
4151MPI,251U,-88.25965,1767,62,-0.07,916,UnionFiles.raw,3707
251U,4150MPI,105.18959,1878,77,0.88,916,UnionFiles.raw,3707
4150MPI,250U,70.99924,1734,44,-1.21,916,UnionFiles.raw,3707
250U,MARA,4.54791,254,6,-0.72,916,UnionFiles.raw,3707
MARA,3815MPI,0.20591,71,2,-0.09,916,UnionFiles.raw,3707
3815MPI,249U,-22.78547,2795,50,1.79,916,UnionFiles.raw,3707
249U,248U,-135.9238,2582,82,2.71,916,UnionFiles.raw,3707
248U,247U,121.92582,2419,78,-0.04,916,UnionFiles.raw,3707
247U,246U,111.87804,2747,105,-3.6,916,UnionFiles.raw,3707
246U,219U,3.07559,121,5,-0.58,916,UnionFiles.raw,3707
1924W,328U,-25.16563,1000,41,0.35,1019,,3786-line_1_1
1924W,3879b,-8.74153,1320,46,0.5,1019,,3786-line_1_1
1924W,7324MPI,13.53096,2353,87,0.77,1019,,3786-line_1_1
7324MPI,7293MPI,18.07921,1768,92,0.45,1019,,3786-line_1_1
7293MPI,3072b,-36.61536,1841,75,0.91,1019,,3786-line_1_1
3072b,7294MPI,-10.45788,1136,28,0.98,619,7924MPI-3072b.DAT.raw,3786-line_1_1
7294MPI,330U,-4.27256,1236,30,-0.53,619,330U-7294MPI.DAT.raw,3786-line_1_1
330U,5412MPI,-4.05798,1130,29,1.62,619,5412MPI-330U.DAT.raw,3786-line_1_1
5412MPI,836U,-0.60004,1349,36,0.28,619,836U-5412MPI.DAT.raw,3786-line_1_1
836U,331U,-3.36071,2032,51,2.22,619,331U-836U.DAT.raw,3786-line_1_1
331U,3082b,-9.37022,1295,28,1.76,619,3082b-331U.DAT.raw,3786-line_1_1
3082b,3083b,-4.3816,1185,25,1.08,619,3083b-3082b.DAT.raw,3786-line_1_1
3083b,332U,20.601,1451,44,1.2,719,332U-3083b.DAT.raw,3786-line_1_1
332U,3087b,7.1596,1672,47,2.12,719,3087b-332U.DAT.raw,3786-line_1_1
3087b,3088b,-6.18195,782,28,-1.44,619,3088b-3087b.DAT.raw,3786-line_1_1
3088b,333U,-1.80106,1857,50,2.11,719,333U-3088b.DAT.raw,3786-line_1_1
333U,3093b,-10.09902,1335,31,0.17,719,3093b-333U.DAT.raw,3786-line_1_1
3093b,845U,4.77716,987,25,0.26,719,845U-3093b.DAT.raw,3786-line_1_1
845U,334U,7.79801,1408,39,-0.71,719,334U-845U.DAT.raw,3786-line_1_1
334U,3096b,-2.16114,1063,30,0.02,719,3096b-334U.DAT.raw,3786-line_1_1
3096b,3097b,-3.06471,787,21,0.62,719,3097b-3096b.DAT.raw,3786-line_1_1
3097b,3098b,-4.35075,933,26,0.49,719,3098b-3097b.DAT.raw,3786-line_1_1
3098b,335U,-24.6711,852,32,1.38,719,335U-3098b.DAT.raw,3786-line_1_1
