from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
314U,4022MPI,5.31365,1580,33,-0.23
3772MPI,4023MPI,-3.3906,1486,32,1.11
4157MPI,4026MPI,-10.2392,2625,62,1.45
176U,4033MPI,14.45119,2298,40,0.98
4180MPI,4033MPI,32.38599,3124,60,1.92
4150MPI,251U,-105.18958,1879,77,0.88
252U,4151MPI,101.71144,1735,65,0.67
253U,4152MPI,-50.20564,1320,42,-1.72
254U,4153MPI,80.56741,1766,61,0.82
4155MPI,4154MPI,-136.033,2758,96,1.93
SAGI,4155MPI,11.74489,1885,41,0.96
258U,4156MPI,8.82352,1096,39,1.19
835U,4158MPI,7.80257,2960,68,1.35
157U,4159MPI,5.15532,644,14,1.46
4182MPI,4181MPI,-18.63863,1828,38,1.24
4184MPI,4183MPI,-14.31125,2100,36,1.04
4185MPI,4184MPI,-8.7077,1660,30,1.44
4186MPI,4185MPI,-24.89134,3819,66,-0.52
161U,4187MPI,-33.68036,3476,66,2.03
822U,7003MPI,-9.43554,3169,68,1.64
40261,7003MPI,7.19886,1732,32,1.63
250U,MARA,4.54791,254,6,0.73
180U,PARA,-0.32011,66,2,0
266U,PARA,-8.0638,2052,40,0.33
256U,SAGI,42.86647,525,27,0.45
3720MPI,142bn,-1.10433,1895,39,0.34
142bn,5438MPI,-0.40508,2253,42,2
5438MPI,4356MPI,-4.1527,2461,48,-0.82
4356MPI,3528,-0.41362,2055,43,2.48
3528,261A,3.21583,2274,42,3.36
3208MPI,3775MPI,-10.96092,2114,42,0.28
3775MPI,4133MPI,17.84514,1724,37,-0.2
4133MPI,3774MPI,-13.4639,1811,44,1.81
3774MPI,3546MPI,9.3382,3539,69,3.19
3546MPI,4131MPI,6.04144,1602,33,1.34
4131MPI,4350MPI,-3.34769,712,21,1.44
4350MPI,4130MPI,34.57406,1601,34,0.54
4130MPI,4129MPI,0.42026,30,2,-0.03
4129MPI,4128MPI,-9.94875,1793,34,0.1
4128MPI,124bn,2.6859,971,18,-0.28
124bn,44551,-0.43274,592,11,0.01
44551,4349MPI,13.77899,1852,34,0.66
4349MPI,502U,15.09614,1607,36,0.48
762A,4603MPI,3.04227,835,19,-0.9
4603MPI,4839,26.23022,1844,46,-1.05
3974MPI,3978MPI,58.52762,1686,41,-0.61
3978MPI,4092,40.87057,1894,56,1.5
4092,4126MPI,9.09118,1821,60,1.37
4126MPI,4125MPI,0.73366,41,2,0.08
4125MPI,1036D,-23.39745,1719,57,0.74
1036D,4764MPI,-44.00196,1687,44,-2.28
4764MPI,4348MPI,-32.28506,2379,50,1.76
4348MPI,964U,31.39608,1636,39,1.92
964U,4764,-47.70754,1598,52,0.32
4764,4124MPI,56.82151,1385,34,1.55
4124MPI,4123MPI,2.19168,112,2,-0.49
4123MPI,3145,58.04932,2210,45,2.6
3145,57U,16.70619,1646,34,0.58
57U,1076,47.43111,2253,57,1.94
1076,10771,-33.69442,1143,27,2.06
1077,1134,-154.51326,1825,96,0.17
1134,1132U,-25.07049,282,17,0.04
1132U,1079,-5.18702,1801,40,0.57
58U,4073MPI,-73.75702,1971,49,1.25
4073MPI,2481W,71.43443,1896,45,-0.44
4065,3773MPI,-99.1729,1497,69,-0.52
3773MPI,1529AFS,-4.45538,1391,33,0.97
